proposer,pl_name,pl_trandur,pl_orbper,pl_radj,pl_bmassj,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,ra_in,dec_in,sy_vmag,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert,etc_version,etc_git_sha,category,req_nuv,req_vis,req_nir,n_transits_needed,t_need_h,vis_waltzer_year,vis_days,vis_intervals_doy
SDT,WASP-189 b,4.31,2.7240317,1.374,2.13,3105.0,0.0508,8000.0,2.33,2.36,225.686732,-3.0314874,6.59776,WASP-189 b,8000.0,2.33,2.36,225.686732,-3.0314874,6.59776,4.31,19.74762514335152,860.5861586897755,2597.944470117044,52.32408518446703,553.178644936828,1010.661366761752,2556.522337435126,2869.7446763266285,8465.922300104834,8892.969051747616,1203.2051327280606,2054.6178841496503,2361.5059018599236,688.3097695600948,2579.3773767860266,6678.099173415901,8169.681980281112,127296.86972536393,11.109570607856924,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,4.31,0224-0716,143,"[(55, 197)]"
SDT,KELT-9 b,3.91584,1.4811235,1.891,2.88,4050.0,0.03462,10170.0,2.362,2.52,307.8598998,39.9389161,7.55,KELT-9 b,10170.0,2.362,2.52,307.8598998,39.9389161,7.55,3.91584,529.4359177514714,1907.2142476719189,2104.9678151073035,453.6994357369084,813.6022733321522,877.1062416902628,1738.2124027027444,1077.660427190183,3032.4678151122325,4347.8848345308525,683.4326460482773,1255.0085156423584,1382.319610393797,1126.8557501773205,442.1009454750566,1308.4221176903325,2036.8465600276447,52936.130959868075,26.71546893831811,0.3.5,858bd57,Massive/hot host (Teff≥10000K),50.0,100.0,30.0,1.0,3.91584,0628-1013,108,"[(179, 286)]"
SDT,TOI-257 b,6.485,18.38818,0.639,0.138,1027.0,0.1528,6095.0,1.867,1.407,47.5172608,-50.8322632,7.57,TOI-257 b,6095.0,1.867,1.407,47.5172608,-50.8322632,7.57,6.485,2.659743526754476,134.57811654238577,1058.600103316708,20.79143838750031,247.46366081479857,771.3852897832155,5714.8332717484955,1467.830125506821,3886.491323383271,4328.584036164163,1057.6740160719078,1699.4109249224657,1928.077142063847,832.1786930007041,1788.020645121088,3947.374377846031,4312.343775823121,119399.49196290688,11.844385090117807,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,6.485,0830-1117,80,"[(242, 321)]"
SDT,KELT-20 b,3.57552,3.4741085,1.741,3.382,2262.0,0.0542,8720.0,1.565,1.76,294.6614126,31.2192001,7.59,KELT-20 b,8720.0,1.565,1.76,294.6614126,31.2192001,7.59,3.57552,7.918061574232755,345.06297060901164,1041.6788920945178,21.991992462053496,313.475429895396,576.1890560755941,4511.401620359866,1150.6606432182068,3394.5192684330787,3565.749097338458,691.6153442039164,1183.6019233959464,1360.7758272028352,1194.8388511531705,1034.2341797717795,2677.668837143306,3275.7379427745673,72631.60855030603,19.471048357597425,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,3.57552,0531-0925,118,"[(151, 268)]"
SDT,HD 209458 b,2.958,3.52474859,1.39,0.73,1450.0,0.047035,6091.0,1.19,1.23,330.7950219,18.8842419,7.65,HD 209458 b,6091.0,1.19,1.23,330.7950219,18.8842419,7.65,2.958,2.4708123338104304,125.01854666402926,983.4039130229896,13.118420744547269,160.01961287922467,501.2517349989566,8837.751428885642,1363.564848098812,3610.41980193493,4021.109071948736,688.2582222335637,1106.0773216963155,1254.9430414074498,1278.5847197411229,1661.0110781860678,3666.9781130553265,4006.022415979351,77650.01047743623,18.21266415390944,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,2.958,0626-1110,138,"[(177, 314)]"
SDT,HD 189733 b,1.83208105,2.21857567,1.13,1.13,1200.0,0.03103,5052.0,0.75,0.79,300.1821223,22.7097759,7.67,HD 189733 b,5052.0,0.75,0.79,300.1821223,22.7097759,7.67,1.83208105,0.3132011232565069,47.88401776635564,756.5018867288649,4.900607294836643,69.04145768517444,346.8871101519131,20483.541480567194,1056.616440765246,3769.981644169647,4550.077220204952,506.1049022307532,897.1584260703601,1013.0699229327596,1576.325341520211,2279.8957535843674,4542.107566432156,4671.828151702421,68026.83034453205,20.78905565951845,0.3.5,858bd57,K/M host (Teff<5200K),20.0,100.0,30.0,1.0,1.83208105,0528-1004,130,"[(148, 277)]"
SDT,HD 1397 b,8.6016,11.53533,1.026,0.415,1228.3,0.1097,5521.0,2.336,1.324,4.4471631,-66.3589285,7.79,HD 1397 b,5521.0,2.336,1.324,4.4471631,-66.3589285,7.79,8.6016,0.2804292502944328,42.87366234094577,677.3451344488182,9.544321346973968,138.79530594111736,708.833469425574,10189.203105853325,946.0571317616244,3375.508730958242,4073.9788235013702,1037.0165578000842,1839.0689294565257,2076.763973911716,768.983445765145,2041.3383268855896,4066.8430763195793,4182.990317737047,139301.42395272595,10.152183102256227,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,8.6016,0623-1002,102,"[(174, 275)]"
SDT,TOI-1431 b,2.489,2.650237,1.49,3.12,2370.0,0.046,7690.0,1.92,1.9,316.2036922,55.5880221,8.03,TOI-1431 b,7690.0,1.92,1.9,316.2036922,55.5880221,8.03,2.489,5.279817056748646,230.09032460704907,694.5985365955673,12.70342285067968,210.1974584521359,388.8700710045063,6728.024081676164,767.2683059655974,2263.488426417239,2377.665635422635,469.8927011769496,805.6109416455133,926.4211342429254,1755.4547601904103,689.6343520239175,1785.487706319516,2184.2842344119767,49050.60777356965,28.831723531367285,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,2.489,0816-1022,68,"[(228, 295)]"
SDT,KELT-11 b,7.1,4.73620865,1.35,0.205,1712.0,0.0623,5375.0,2.69,1.44,161.7069053,-9.3993646,8.04,KELT-11 b,5375.0,2.69,1.44,161.7069053,-9.3993646,8.04,7.1,0.2227528713514298,34.05576052344825,538.0343649458092,6.93536637837762,107.04289370380246,569.2586017818363,13211.652949950643,751.4798914205259,2681.2618915584508,3236.0764071759386,838.4039157844734,1488.3974991650994,1680.9494724984402,950.1585182495826,1621.4926696700436,3230.4082817135873,3322.6673149568187,112450.08460397804,12.5763672597812,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,7.1,1230-0517,139,"[(364, 137)]"
SDT,HD 118203 b,5.643,6.1349779,1.14,2.14,1361.0,0.0713,5742.0,2.04,1.27,203.509956,53.7281876,8.05,HD 118203 b,5742.0,2.04,1.27,203.509956,53.7281876,8.05,5.643,0.658560624215991,50.42123767118916,576.0613673743057,7.869358524708541,127.36630904112516,528.0454537599791,11103.51373938662,789.9921533217488,2584.373985451694,3021.939105819028,765.7108469059204,1301.6024218880775,1470.2029090003095,1086.5173101949722,1406.9844448911226,2897.6445330807537,3052.36324383764,94952.36627748542,14.89392647930698,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,5.643,0118-0501,104,"[(18, 121)]"
SDT,WASP-33 b,2.8536,1.21987,1.593,2.093,2781.7,0.0239,7430.0,1.444,1.495,36.7127375,37.5504441,8.14,WASP-33 b,7430.0,1.444,1.495,36.7127375,37.5504441,8.14,2.8536,4.77110390468098,207.92100073975485,627.6736020428696,12.385011879933522,212.76547743055815,394.6314918265376,6646.818738884283,693.3416008896188,2045.4001253084732,2148.5763001372816,477.8563973584982,819.7363994841706,942.7356713100078,1725.2052772854868,623.187719267238,1613.4550261532818,1973.8272988863168,49787.33070077671,28.40508905513653,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,2.8536,0902-0115,136,"[(245, 15)]"
SDT,HD 221416 b,8.6972718,14.2767,0.836,0.19,789.15,0.1228,5080.0,2.943,1.212,353.0331863,-21.8012007,8.15,HD 221416 b,5080.0,2.943,1.212,353.0331863,-21.8012007,8.15,8.6972718,0.2012905149668508,30.774470074226706,486.1944707277926,6.954293402266751,110.0776654176312,596.4059090161346,12847.416022202264,679.0744083950497,2422.9208972184542,2924.27874226969,881.3899889180896,1565.55389963855,1768.1856991424377,903.3311230610484,1465.2609975919029,2919.156743678644,3002.526570515018,118122.62723337904,11.972418794741024,0.3.5,858bd57,K/M host (Teff<5200K),20.0,100.0,30.0,1.0,8.6972718,0628-1116,142,"[(179, 320)]"
SDT,HD 149026 b,3.19,2.87589,0.74,0.38,1626.0,0.043005,6179.0,1.41,1.42,247.6229827,38.3475349,8.15,HD 149026 b,6179.0,1.41,1.42,247.6229827,38.3475349,8.15,3.19,1.5589771888499404,78.88137021390916,620.4859215124176,8.841424847190565,124.94210445681752,407.65888214981715,11318.9510335315,860.3512555829659,2278.0208906875723,2537.1483019019925,566.1888512165491,911.4080695830066,1034.3185646757556,1551.6798781693203,1048.0271390444657,2313.706772480383,2527.6292655144644,63566.88877636838,22.247644797409738,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,3.19,0328-0705,100,"[(87, 186)]"
SDT,DS Tuc A b,3.1764,8.138268,0.50851994,1.3,850.0,0.082,5428.0,0.964,1.01,354.9154673,-69.196043,8.17,DS Tuc A b,5428.0,0.964,1.01,354.9154673,-69.196043,8.17,3.1764,0.1976165490181395,30.2127726929022,477.3204215447013,4.127828090312982,65.63148820843799,356.83436053293974,21547.790564823354,666.6799035993541,2378.697606944357,2870.9046400403404,527.6879676982356,937.3941750086478,1058.7337357336187,1508.664764596013,1438.5169703732636,2865.8761284594307,2947.724284465974,70709.28863889132,20.000393011947992,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,3.1764,0613-0925,105,"[(164, 268)]"
SDT,MASCARA-4 b,3.97,2.8240932,1.515,1.675,2250.0,0.0474,7800.0,1.79,1.75,147.5800667,-66.1139253,8.191,MASCARA-4 b,7800.0,1.79,1.75,147.5800667,-66.1139253,8.191,3.97,4.552174217304815,198.3802150850486,598.8718009890937,13.983864143536234,244.42779815521337,453.9896922348603,5785.813123739142,661.5265193151583,1951.5436889492464,2049.98546097501,550.3056800311861,944.2901366967182,1086.0190516258124,1497.647288067888,594.5917600759105,1539.4190773397008,1883.255095448083,57281.74795115325,24.68872918436531,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,3.97,0322-0512,52,"[(81, 132)]"
SDT,MASCARA-1 b,4.226,2.14877381,1.597,3.7,2594.3,0.040352,7490.0,2.082,1.9,317.5515264,10.7388967,8.28,MASCARA-1 b,7490.0,2.082,1.9,317.5515264,10.7388967,8.28,4.226,4.193907762354325,182.7672413722551,551.739229416029,13.364747218771386,240.68451378133716,448.3537459304815,5875.797907205255,609.4628790375459,1797.952766074856,1888.6469469498588,544.5230746085094,934.8660587212466,1075.255441603729,1512.74457894805,547.7960374483848,1418.2632978826946,1735.0386400565526,56581.02074619015,24.99448655613588,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,4.226,0608-1025,140,"[(159, 298)]"
SDT,HD 202772 A b,5.6304,3.308958,1.545,1.017,2132.0,0.05208,6272.0,2.591,1.72,319.6995877,-26.6163743,8.324,HD 202772 A b,6272.0,2.591,1.72,319.6995877,-26.6163743,8.324,5.6304,1.3281274735740742,67.2008004245048,528.6058097710181,10.081129390355272,149.75489671180867,496.62831937078624,9443.521336698834,732.9524432019599,1940.6968568473824,2161.4532838505775,693.3923925580001,1117.034706042029,1267.816665487058,1266.042634775472,892.8377184550131,1971.0984562849671,2153.3438042259563,77672.09685143089,18.20748530940481,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,5.6304,0526-1017,145,"[(146, 290)]"
SDT,KELT-24 b,4.3032,5.55149296,1.134,4.59,1391.0,0.0665,6426.0,1.338,1.268,161.9090273,71.655727,8.34,KELT-24 b,6426.0,1.338,1.268,161.9090273,71.655727,8.34,4.3032,1.308698969936007,66.21775397639918,520.8731033082851,8.68976215642442,129.6720683521513,430.7000888189956,10906.07700135164,722.2304534136166,1912.3073861874775,2129.8344793123388,601.6577249842558,969.3279041042706,1100.1840538869926,1458.9630159052642,879.7768480142217,1942.2642560362024,2121.843629154787,67380.98513284868,20.988318285712577,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,4.3032,1204-0315,102,"[(338, 74)]"
SDT,HD 332231 b,6.1681657,18.712024,0.80944319,0.23314467,798.3,0.145,6128.0,1.266,1.1642,306.741134,33.7443882,8.558,HD 332231 b,6128.0,1.266,1.1642,306.741134,33.7443882,8.558,6.1681657,1.0706308678806526,54.17194713030637,426.12001343434,8.577447064135642,137.27299130314955,461.8546169700942,10302.198188790017,590.8480367993776,1564.4356445306855,1742.391939943078,650.2593123930892,1048.859748285401,1190.6538912465055,1348.3342884355584,719.7348450399018,1588.9429990116753,1735.8547216554357,72576.30403781153,19.485885663677557,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,6.1681657,0617-1012,118,"[(168, 285)]"
SDT,KELT-7 b,3.3581,2.73477,1.6,1.39,1928.0,0.04415,6768.0,1.81,1.76,78.2955912,33.3179532,8.56,KELT-7 b,6768.0,1.81,1.76,78.2955912,33.3179532,8.56,3.3581,3.240551103653333,141.2206989998409,426.3181906054274,9.342475361616774,184.9216490857163,347.77179690939613,7647.636549669574,470.9201339688402,1389.2431952651502,1459.3208280084225,425.3714012790509,731.7500645173177,841.8561535045743,1932.645627173192,423.27136272872343,1095.864514827756,1340.630671562543,43917.230007120976,32.201793285773874,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,3.3581,1005-0218,137,"[(278, 49)]"
SDT,KELT-2 A b,5.2035,4.11379,1.35,1.7,2080.0,0.054965,6327.0,1.93,1.54,92.6640226,30.9571333,8.68,KELT-2 A b,6327.0,1.93,1.54,92.6640226,30.9571333,8.68,5.2035,0.9568409654347064,48.41438795263499,380.8306833639837,7.067343724385163,117.02532773452872,398.51048716903864,12084.679357456964,528.0509117726456,1398.1626696756844,1557.205229175808,563.9045521655506,910.265543482918,1033.4373447883083,1553.627479913101,643.239238327049,1420.0653080409134,1551.362806315362,62799.78781180429,22.519400330000312,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,5.2035,1017-0303,138,"[(290, 62)]"
SDT,HAT-P-2 b,4.248,5.63341,0.951,8.62,1516.0,0.0677,6290.0,1.416,1.298,245.1514324,41.0479601,8.72,HAT-P-2 b,6290.0,1.416,1.298,245.1514324,41.0479601,8.72,4.248,0.922231093478354,46.66319226974049,367.05566571275926,6.1616696297306195,103.10982438727882,352.71714554171,13715.60441283783,508.9507947175784,1347.5897607810043,1500.879595618666,499.9838097246315,807.3005985083339,916.5754613689002,1751.780644020538,619.9726470333885,1368.7001593313516,1495.2484988974843,55638.21869737432,25.41802371613013,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,4.248,0326-0626,93,"[(85, 177)]"
SDT,HD 152843 c,6.5,19.502104,0.52993222,0.03042522,,0.1482,6310.0,1.43,1.15,253.7848853,20.491524,8.855,HD 152843 c,6310.0,1.43,1.15,253.7848853,20.491524,8.855,6.5,0.8144037421917634,41.207327182774485,324.13948072569127,6.754929800254736,117.0266645800267,406.7440133214821,12084.541309010898,449.44421711714546,1190.0294317555586,1325.3966038391784,580.2447703580965,937.8146445448156,1064.9070586503174,1507.9883542013868,547.485383404475,1208.6716004051957,1320.4238955073895,64388.845310596145,21.963642235720684,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,6.5,0328-0804,130,"[(87, 216)]"
SDT,TOI-1518 b,2.3653693,1.902603,1.875,2.3,2492.0,0.0389,7300.0,1.95,1.79,352.2675207,67.0348062,8.952,TOI-1518 b,7300.0,1.95,1.79,352.2675207,67.0348062,8.952,2.3653693,2.258493654450807,98.42339847955944,297.12135296179224,5.551132839978003,125.54099427663144,239.11437296224335,11264.954292594291,328.2065612613551,968.2294278457886,1017.0698515290268,296.31197860830105,511.64850585692824,588.9270966298337,2764.0334061066337,294.9978742059775,763.7599203684923,934.3490560209464,30232.34237857589,46.778167059105414,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,2.3653693,0916-1218,94,"[(259, 352)]"
SDT,TOI-622 b,3.907,6.402513,0.824,0.303,1388.0,0.0708,6400.0,1.415,1.313,125.3050544,-46.4842959,8.995,TOI-622 b,6400.0,1.415,1.313,125.3050544,-46.4842959,8.995,3.907,0.7158792271778988,36.22216845207636,284.9259021517547,4.618695132584297,83.03586974048133,292.93525629387796,17031.357253113027,395.071586905402,1046.0626662046045,1165.0534585058278,420.9635537509883,681.1616567247552,773.6008630722736,2076.1790514943104,481.25197964832614,1062.4495522101938,1160.682335912553,46561.72625630531,30.372876524988907,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,3.907,0110-0402,83,"[(10, 92)]"
SDT,TOI-2145 b,7.4683854,10.261127,1.10795061,5.55960374,1363.43,0.111,6200.0,2.7505,1.7169,263.7580753,40.6950428,9.07,TOI-2145 b,6200.0,2.7505,1.7169,263.7580753,40.6950428,9.07,7.4683854,0.6680973676149984,33.80449449209327,265.90832359158696,5.96910955855711,109.21146482110632,389.15662393843235,12949.31410992102,368.70225760215766,976.2424821386116,1087.2911508089696,561.6243443377051,909.3810647997066,1032.8925997554622,1555.138563045162,449.1304797738652,991.5356139799984,1083.211781849485,62001.67781666066,22.80927891265997,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,7.4683854,0501-0721,82,"[(121, 202)]"
